Year,Month,Day,Name
2026,0,7,عيد الميلاد المجيد
2026,0,25,ثورة يناير / عيد الشرطة
2026,2,20,عيد الفطر المبارك
2026,2,21,عيد الفطر المبارك
2026,2,22,عيد الفطر المبارك
2026,3,13,شم النسيم
2026,3,25,عيد تحرير سيناء
2026,4,1,عيد العمال
2026,4,27,عيد الأضحى المبارك
2026,4,28,عيد الأضحى المبارك
2026,4,29,عيد الأضحى المبارك
2026,4,30,عيد الأضحى المبارك
2026,5,16,رأس السنة الهجرية
2026,5,30,ثورة 30 يونيو
2026,6,23,عيد الثورة
2026,7,25,المولد النبوي الشريف
2026,9,6,عيد القوات المسلحة
2027,0,7,عيد الميلاد المجيد
2027,0,25,ثورة يناير / عيد الشرطة
2027,2,10,عيد الفطر المبارك
2027,2,11,عيد الفطر المبارك
2027,2,12,عيد الفطر المبارك
2027,3,25,عيد تحرير سيناء
2027,4,1,عيد العمال
2027,4,3,شم النسيم
2027,4,16,عيد الأضحى المبارك
2027,4,17,عيد الأضحى المبارك
2027,4,18,عيد الأضحى المبارك
2027,4,19,عيد الأضحى المبارك
2027,5,6,رأس السنة الهجرية
2027,5,30,ثورة 30 يونيو
2027,6,23,عيد الثورة
2027,7,15,المولد النبوي الشريف
2027,9,6,عيد القوات المسلحة
2028,0,7,عيد الميلاد المجيد
2028,0,25,ثورة يناير / عيد الشرطة
2028,1,27,عيد الفطر المبارك
2028,1,28,عيد الفطر المبارك
2028,1,29,عيد الفطر المبارك
2028,3,17,شم النسيم
2028,3,25,عيد تحرير سيناء
2028,4,1,عيد العمال
2028,4,5,عيد الأضحى المبارك
2028,4,6,عيد الأضحى المبارك
2028,4,7,عيد الأضحى المبارك
2028,4,8,عيد الأضحى المبارك
2028,4,25,رأس السنة الهجرية
2028,5,30,ثورة 30 يونيو
2028,6,23,عيد الثورة
2028,7,3,المولد النبوي الشريف
2028,9,6,عيد القوات المسلحة
2029,0,7,عيد الميلاد المجيد
2029,0,25,ثورة يناير / عيد الشرطة
2029,1,15,عيد الفطر المبارك
2029,1,16,عيد الفطر المبارك
2029,1,17,عيد الفطر المبارك
2029,3,9,شم النسيم
2029,3,24,عيد الأضحى المبارك
2029,3,25,عيد الأضحى المبارك / عيد تحرير سيناء
2029,3,26,عيد الأضحى المبارك
2029,3,27,عيد الأضحى المبارك
2029,4,1,عيد العمال
2029,4,14,رأس السنة الهجرية
2029,5,30,ثورة 30 يونيو
2029,6,23,عيد الثورة
2029,6,24,المولد النبوي الشريف
2029,9,6,عيد القوات المسلحة
2030,0,7,عيد الميلاد المجيد
2030,0,25,ثورة يناير / عيد الشرطة
2030,1,5,عيد الفطر المبارك
2030,1,6,عيد الفطر المبارك
2030,1,7,عيد الفطر المبارك
2030,3,14,عيد الأضحى المبارك
2030,3,15,عيد الأضحى المبارك
2030,3,16,عيد الأضحى المبارك
2030,3,17,عيد الأضحى المبارك
2030,3,25,عيد تحرير سيناء
2030,3,29,شم النسيم
2030,4,1,عيد العمال
2030,4,3,رأس السنة الهجرية
2030,5,30,ثورة 30 يونيو
2030,6,13,المولد النبوي الشريف
2030,6,23,عيد الثورة
2030,9,6,عيد القوات المسلحة
